公司简称,A股代码,所属行业,
久其软件,002279,I信息技术,
联络互动,002280,I信息技术,
光迅科技,002281,C制造业,
博深工具,002282,C制造业,
天润曲轴,002283,C制造业,
亚太股份,002284,C制造业,
世联行,002285,K房地产,
保龄宝,002286,C制造业,
奇正藏药,002287,C制造业,
超华科技,002288,C制造业,
宇顺电子,002289,C制造业,
中科新材,002290,C制造业,
星期六,002291,C制造业,
奥飞娱乐,002292,C制造业,
罗莱生活,002293,C制造业,
信立泰,002294,C制造业,
精艺股份,002295,C制造业,
辉煌科技,002296,C制造业,
博云新材,002297,C制造业,
中电兴发,002298,I信息技术,
圣农发展,002299,A农林牧渔,
太阳电缆,002300,C制造业,
齐心集团,002301,C制造业,
西部建设,002302,C制造业,
美盈森,002303,C制造业,
洋河股份,002304,C制造业,
南国置业,002305,K房地产,
*ST云网,002306,H住宿餐饮,
北新路桥,002307,E建筑业,
威创股份,002308,C制造业,
中利集团,002309,C制造业,
东方园林,002310,E建筑业,
海大集团,002311,C制造业,
三泰控股,002312,C制造业,
日海智能,002313,C制造业,
南山控股,002314,K房地产,
焦点科技,002315,I信息技术,
亚联发展,002316,I信息技术,
众生药业,002317,C制造业,
久立特材,002318,C制造业,
乐通股份,002319,C制造业,
海峡股份,002320,G运输仓储,
华英农业,002321,A农林牧渔,
理工环科,002322,I信息技术,
*ST百特,002323,E建筑业,
普利特,002324,C制造业,
洪涛股份,002325,E建筑业,
永太科技,002326,C制造业,
富安娜,002327,C制造业,
新朋股份,002328,C制造业,
皇氏集团,002329,C制造业,
得利斯,002330,C制造业,
皖通科技,002331,I信息技术,
仙琚制药,002332,C制造业,
罗普斯金,002333,C制造业,
英威腾,002334,C制造业,
科华恒盛,002335,C制造业,
人人乐,002336,F批发零售,
赛象科技,002337,C制造业,
奥普光电,002338,C制造业,
积成电子,002339,C制造业,
格林美,002340,C制造业,
新纶科技,002341,C制造业,
巨力索具,002342,C制造业,
慈文传媒,002343,R文化传播,
海宁皮城,002344,L商务服务,
潮宏基,002345,C制造业,
柘中股份,002346,C制造业,
泰尔股份,002347,C制造业,
高乐股份,002348,C制造业,
精华制药,002349,C制造业,
北京科锐,002350,C制造业,
漫步者,002351,C制造业,
顺丰控股,002352,G运输仓储,
杰瑞股份,002353,C制造业,
天神娱乐,002354,I信息技术,
兴民智通,002355,C制造业,
赫美集团,002356,F批发零售,
富临运业,002357,G运输仓储,
森源电气,002358,C制造业,
北讯集团,002359,I信息技术,
同德化工,002360,C制造业,
神剑股份,002361,C制造业,
汉王科技,002362,C制造业,
隆基机械,002363,C制造业,
中恒电气,002364,C制造业,
永安药业,002365,C制造业,
台海核电,002366,C制造业,
康力电梯,002367,C制造业,
太极股份,002368,I信息技术,
卓翼科技,002369,C制造业,
亚太药业,002370,C制造业,
北方华创,002371,C制造业,
伟星新材,002372,C制造业,
千方科技,002373,I信息技术,
丽鹏股份,002374,E建筑业,
亚厦股份,002375,E建筑业,
新北洋,002376,C制造业,
国创高新,002377,K房地产,
章源钨业,002378,C制造业,
宏创控股,002379,C制造业,
科远股份,002380,C制造业,
双箭股份,002381,C制造业,
蓝帆医疗,002382,C制造业,
合众思壮,002383,C制造业,
东山精密,002384,C制造业,
大北农,002385,C制造业,
